ast,stl,blk,tov,pf,pts,name,position,team
1.9411764705882355,0.9176470588235294,0.2294117647058823,1.088235294117647,2.023529411764706,11.088235294117649,Wesley Matthews,SG,LAL
1.1333333333333333,0.2333333333333333,0.05,0.5166666666666666,0.9500000000000002,2.65,Justin Robinson,PG,OKC
1.0714285714285714,0.4142857142857142,0.1285714285714286,0.4999999999999999,1.1714285714285717,5.057142857142857,Rodney McGruder,SG,DET
0.2,0.1727272727272727,0.0727272727272727,0.3272727272727272,0.990909090909091,1.554545454545455,Anthony Gill,PF,WAS
0.8250000000000001,0.3,0.85,0.6,1.8,4.7250000000000005,Goga Bitadze,C,IND
0.52,0.4399999999999999,1.86,1.2100000000000002,2.39,10.27,Hassan Whiteside,C,SAC
4.1,1.3666666666666665,0.5499999999999998,1.7388888888888892,1.727777777777778,10.622222222222224,Andre Iguodala,SF,MIA
2.52,0.4599999999999999,0.28,1.14,1.9,9.3,Shake Milton,SG,PHI
2.3000000000000003,0.6714285714285715,0.1714285714285714,1.0571428571428572,1.5285714285714285,6.642857142857143,Aaron Holiday,PG,IND
1.525,0.625,0.325,1.375,2.85,13.925,De'Andre Hunter,SF,ATL
0.05,0.2333333333333333,0.4666666666666667,0.4833333333333333,1.35,4.6000000000000005,Moses Brown,C,OKC
1.2285714285714284,0.5285714285714286,0.1428571428571428,0.6857142857142858,1.385714285714286,5.871428571428572,Troy Brown Jr.,SF,CHI
4.866666666666666,1.1,0.4333333333333333,2.2,2.6666666666666665,7.266666666666666,Killian Hayes,PG,DET
1.2,0.3999999999999999,0.3666666666666667,0.9333333333333332,2.2,5.566666666666666,Harry Giles,C,POR
0.925,1.4,0.7750000000000001,0.525,1.975,4.025,Matisse Thybulle,SG,PHI
0.4181818181818181,0.3181818181818182,0.3727272727272728,0.4909090909090909,0.8545454545454546,2.6,Bruno Caboclo,PF,HOU
1.3571428571428572,0.8142857142857142,0.3999999999999999,0.9,2.1000000000000005,8.057142857142857,Dorian Finney-Smith,PF,DAL
3.4733333333333336,0.9066666666666666,1.34,1.9266666666666663,2.8200000000000003,13.539999999999996,Marc Gasol,C,LAL
0.5428571428571428,0.2857142857142857,0.1999999999999999,0.5428571428571429,1.2,5.4,Kevin Knox,SF,NYK
0.9,0.5375,0.95,1.0499999999999998,2.34375,8.525,Taj Gibson,C,NYK
0.59,0.28,0.6599999999999999,0.6300000000000001,1.91,4.430000000000001,Damian Jones,C,LAL
0.6124999999999999,0.4375,0.5750000000000001,0.7625000000000001,1.9375,6.8125,JaKarr Sampson,PF,IND
1.9333333333333336,0.6999999999999998,0.4666666666666666,1.0333333333333334,2.6333333333333333,7.466666666666666,Deni Avdija,SF,WAS
1.84,0.8,0.3199999999999999,0.7799999999999999,2.04,6.32,Kenrich Williams,PF,OKC
0.93,0.42,0.29,0.6399999999999999,1.21,5.769999999999999,Danuel House Jr.,SF,HOU
2.409090909090909,0.9454545454545454,1.2454545454545456,2.2,3.2181818181818187,12.454545454545457,Jusuf Nurkić,C,POR
1.9882352941176469,0.6764705882352942,0.2058823529411764,1.1529411764705884,1.7823529411764705,10.676470588235292,Alec Burks,SG,NYK
0.45,0.2,0.1,0.25,0.55,3.1500000000000004,Jahmi'us Ramsey,SG,SAC
2.833333333333333,0.7000000000000001,0.1,1.2,1.9333333333333336,10.933333333333335,Immanuel Quickley,PG,NYK
0.7642857142857142,0.3214285714285714,0.8571428571428571,1.0214285714285716,2.2142857142857144,6.492857142857142,Alex Len,C,TOR
1.65,1.3666666666666665,0.5333333333333333,1.4,2.45,12.583333333333334,OG Anunoby,SF,TOR
3.625,0.95,0.125,0.8500000000000001,0.7999999999999999,5.125,Jordan McLaughlin,PG,MIN
1.0666666666666669,0.6666666666666666,0.7000000000000001,1.2666666666666666,1.8,9.2,Patrick Williams,PF,CHI
2.8400000000000003,0.8666666666666666,0.34,2.0,1.8200000000000005,16.34,Eric Gordon,SG,HOU
3.727272727272727,1.1363636363636362,0.1727272727272727,1.9,2.4909090909090907,15.936363636363636,Khris Middleton,SF,MIL
1.7666666666666666,0.8500000000000001,0.5333333333333333,1.1,1.9333333333333336,7.8,Rondae Hollis-Jefferson,PF,POR
0.8400000000000001,0.24,0.04,0.5,0.56,2.24,Theo Pinson,SG,NYK
1.1181818181818182,0.6363636363636365,0.6727272727272727,0.6727272727272728,1.9090909090909087,6.272727272727274,Willie Cauley-Stein,C,DAL
1.3199999999999998,0.58,0.38,1.1700000000000002,2.12,11.93,Bobby Portis,C,MIL
1.1571428571428573,0.7285714285714285,0.0999999999999999,0.5857142857142856,1.1285714285714286,2.942857142857143,Patrick McCaw,SF,TOR
1.06,1.05,0.55,1.14,2.58,13.670000000000002,Kelly Oubre Jr.,SF,GSW
1.1875000000000002,0.6875000000000001,2.325,1.4000000000000004,2.95,13.25,Myles Turner,C,IND
3.188888888888888,0.6333333333333333,0.3666666666666666,2.5444444444444443,2.9,16.666666666666668,Julius Randle,PF,NYK
0.8800000000000001,0.52,0.18,0.64,1.38,5.0200000000000005,Edmond Sumner,SG,IND
4.220000000000001,0.66,0.08,1.44,1.78,13.3,Jalen Brunson,PG,DAL
0.4600000000000001,0.22,0.16,0.4399999999999999,0.98,2.5,Thanasis Antetokounmpo,SF,MIL
1.1470588235294117,0.6058823529411765,0.0823529411764705,0.6647058823529411,1.2,8.105882352941176,Wayne Ellington,SG,DET
7.627272727272728,1.7727272727272725,0.1181818181818181,2.645454545454546,2.5181818181818185,11.163636363636362,Ricky Rubio,PG,MIN
6.15,1.3,0.4666666666666666,2.766666666666666,2.6333333333333333,20.2,De'Aaron Fox,PG,SAC
2.923076923076923,0.5692307692307692,0.1,0.9692307692307692,1.1769230769230772,9.492307692307692,Trey Burke,PG,DAL
3.9900000000000007,1.17,0.3899999999999999,1.87,1.96,9.38,Dennis Smith Jr.,PG,DET
4.85,1.4,0.2833333333333334,1.9166666666666667,1.7666666666666666,13.333333333333334,Dejounte Murray,PG,SAS
1.7666666666666668,1.0333333333333334,0.5333333333333333,0.7000000000000001,1.4666666666666668,7.266666666666666,Chuma Okeke,PF,ORL
4.566666666666667,0.7999999999999999,0.3666666666666667,2.1333333333333333,2.7,14.233333333333334,Cole Anthony,PG,ORL
3.2416666666666667,1.3333333333333333,0.4333333333333333,1.0333333333333334,1.1583333333333334,7.800000000000001,Delon Wright,SG,DET
0.8428571428571426,0.5428571428571428,0.6285714285714284,1.1428571428571428,2.2571428571428567,12.828571428571427,Marvin Bagley III,PF,SAC
3.0500000000000003,0.7083333333333334,0.2166666666666666,1.225,1.7833333333333332,7.691666666666666,Cameron Payne,PG,PHO
4.84,1.2399999999999998,0.74,2.54,2.18,21.84,Shai Gilgeous-Alexander,SG,OKC
4.319047619047618,0.8999999999999999,0.1857142857142858,2.0,2.1904761904761902,12.20952380952381,Goran Dragić,PG,MIA
1.30625,1.50625,1.08125,1.2999999999999998,2.8625,10.6625,Robert Covington,PF,POR
2.661904761904762,0.9428571428571428,0.5285714285714286,2.361904761904761,2.8380952380952387,22.371428571428563,Carmelo Anthony,PF,POR
